2100	3.176	0.07	3.246	0.3326821189
2000	4.169	0.013	4.182	0.3298125148
4700	4.257	0.009	4.266	0.3315916028
3300	5.307	0.077	5.384	0.3341636089
500	6.417	0.8	7.217	0.3301958504
1600	7.25	0.114	7.364	0.3373552981
3800	7.072	0.561	7.633	0.335475214
1400	7.328	0.354	7.682	0.3243593589
4000	7.59	0.669	8.259	0.330942348
100	7.176	1.452	8.628	0.3292094215
900	6.971	1.696	8.667	0.3328045345
1900	7.811	0.999	8.81	0.3305171366
700	5.906	2.954	8.86	0.3341984882
200	8.77	0.123	8.893	0.3354906302
3400	7.439	1.735	9.174	0.3296698729
4500	7.09	2.166	9.256	0.3318846629
5000	9.403	0.031	9.434	0.3271317059
1700	9.992	0.078	10.07	0.330576022
1200	7.341	2.869	10.21	0.3347629144
4100	10.586	0.06	10.646	0.3355769032
2300	10.677	0.003	10.68	0.3319929738
4300	11.106	0.004	11.11	0.3391058441
1000	11.514	0.023	11.537	0.3459635549
4200	12.033	0.073	12.106	0.3312745643
3301	8.055	0.239	8.294	0.332009573
3700	11.478	2.573	14.051	0.3351315999
4701	10.942	0.179	11.121	0.3358647649
201	6.967	0.068	7.035	0.3393081675
5001	6.876	0.103	6.979	0.3356734931
3100	10.513	6.527	17.04	0.3312355945
1201	5.019	1.792	6.811	0.3351358788
4001	8.637	1.587	10.224	0.3394486049
1401	9.562	1.532	11.094	0.3302708606
1601	11.622	0.001	11.623	0.336565276
701	11.574	0.048	11.622	0.340491997
2200	14.098	7.582	21.68	0.3340669303
1901	11.291	2.296	13.587	0.3391673585
2101	9.307	10.179	19.486	0.3398972131
400	21.878	2.77	24.648	0.3405645901
3701	10.543	0.003	10.546	0.3370932467
3600	9.888	16.372	26.26	0.3387891093
1001	15.006	0.116	15.122	0.3451471056
4101	16.586	1.644	18.23	0.3330976289
401	7.39	1.061	8.451	0.3309073612
2400	4.869	31.127	35.996	0.3314550984
2600	21.915	14.52	36.435	0.3400119377
3601	9.997	0.049	10.046	0.329396941
3401	14.383	15.222	29.605	0.3350018321
501	8.077	25.508	33.585	0.3401498788
3500	4.512	/	/	0.3336934374
2800	4.532	/	/	0.3250035017
600	6.655	35.748	42.403	0.3376271563
1800	5.112	/	/	0.3359571726
3900	4.783	/	/	0.3328928611
300	4.464	/	/	0.3291825191
800	5.365	/	/	0.3355543916
4900	5.99	/	/	0.3333780068
4501	10.828	24.826	35.654	0.332146037
2900	8.016	/	/	0.3364109463
4600	8.328	/	/	0.3347243605
1500	10.758	/	/	0.3382132615
2401	7.314	3.853	11.167	0.3349718455
3200	11.274	/	/	0.3317169288
1300	11.18	/	/	0.337095086
2601	10.151	1.156	11.307	0.3367918366
2001	5.531	/	/	0.3286457532
4800	9.948	/	/	0.3332376387
2700	11.564	/	/	0.3370585233
4400	12.073	/	/	0.3400270814
3801	4.685	/	/	0.3237177018
4901	5.825	0.003	5.828	0.3276651868
1100	14.854	/	/	0.3369352742
3501	9.759	0.248	10.007	0.3357428848
101	7.587	/	/	0.3363667797
4201	3.116	/	/	0.3275686977
801	9.421	0.035	9.456	0.3301742106
2901	7.922	0.004	7.926	0.3316490304
901	12.095	32.944	45.039	0.3383908773
2500	19.901	/	/	0.3360809646
3000	19.867	/	/	0.342040179
3901	8.363	5.161	13.524	0.3346342616
4801	8.661	0.02	8.681	0.3376581237
1501	9.72	0.065	9.785	0.3357863527
1801	6.506	8.217	14.723	0.3338051418
2301	9.339	/	/	0.3359474685
1701	12.354	/	/	0.336007149
4301	22.093	24.929	47.022	0.3365553954
1301	11.18	0.005	11.185	0.3305111047
4401	10.604	0	10.604	0.3356825441
3201	6.114	6.056	12.17	0.3352862522
3101	10.962	/	/	0.3321474921
3001	7.451	0.04	7.491	0.3338670602
1101	12.511	0.198	12.709	0.3405982517
2501	9.152	0.206	9.358	0.3338472364
2201	12.248	/	/	0.3300895824
4601	8.892	15.625	24.517	0.3345783672
2801	5.93	30.894	36.824	0.3377505451
301	7.622	/	/	0.330869708
601	13.079	/	/	0.3369007181
2701	8.116	/	/	0.3298171727
